P_launch_dBm,Modulation,Data_Aided,CPR,BER,SER,SNR,EVM,Qfactor,Trial:
-14,16,False,bps,0.0009416666666666667,0.003711111111111111,18.32357892672207,0.014747761702313766,4.924864334287559,0
-12,16,False,bps,0.0006805555555555556,0.0026777777777777776,19.073489109130403,0.012482282967745447,5.05526190778555,0
-10,16,False,bps,0.0005583333333333333,0.0022,19.62643349743698,0.011049525005501491,5.131313870219359,0
-8,16,False,bps,0.00043611111111111113,0.0017222222222222222,20.0084786610877,0.010163231040551125,5.222871991425686,0
-6,16,False,bps,0.0004027777777777778,0.0015888888888888888,20.262121959673358,0.009616927390757653,5.251587177838262,0
-4,16,False,bps,0.00037777777777777777,0.001488888888888889,20.4328758793428,0.009266857532827901,5.274472943576227,0
-2,16,False,bps,0.0003611111111111111,0.0014333333333333333,20.534715308105675,0.009064454624386533,5.290453274710645,0
0,16,False,bps,0.00034722222222222224,0.0013777777777777777,20.572701537257814,0.008990333979333446,5.304255162476126,0
2,16,False,bps,0.00033611111111111114,0.0013333333333333333,20.52362379249537,0.009088366033540001,5.315638157430199,0
4,16,False,bps,0.00035833333333333333,0.0014222222222222223,20.298953264249533,0.009549411991892562,5.2931771915091685,0
6,16,False,bps,0.0004916666666666666,0.0019444444444444444,19.693508810663143,0.010918296960021152,5.178886783824686,0
8,16,False,bps,0.0013305555555555555,0.005311111111111111,18.385089907957926,0.014619552486279398,4.7775677970820585,0
-14,16,False,bps,0.0009333333333333333,0.0036888888888888887,18.339954893125746,0.014696783071877087,4.928532226359376,1
-12,16,False,bps,0.0006666666666666666,0.0026222222222222224,19.082231219275762,0.012460779765372375,5.063300495997335,1
-10,16,False,bps,0.0005138888888888889,0.002011111111111111,19.62910924520607,0.011045632876089773,5.162457964016241,1
-8,16,False,bps,0.0004277777777777778,0.0016888888888888889,20.010509309683123,0.010160542304016858,5.229872296564071,1
-6,16,False,bps,0.000375,0.001488888888888889,20.273148556868627,0.00959513535092856,5.277094306056339,1
-4,16,False,bps,0.00033611111111111114,0.0013444444444444445,20.440589570802384,0.009252623782522972,5.315638157430199,1
-2,16,False,bps,0.0003027777777777778,0.0012111111111111112,20.541107208733912,0.009053151102197475,5.351818985111853,1
0,16,False,bps,0.0003,0.0012,20.575818008494227,0.008985228947250401,5.354984820359824,1
2,16,False,bps,0.0002916666666666667,0.0011666666666666668,20.525032463293115,0.009086848423491127,5.364634496961546,1
4,16,False,bps,0.0003333333333333333,0.0013333333333333333,20.297400855390837,0.009554051847494433,5.318533773916073,1
6,16,False,bps,0.0004694444444444444,0.0018555555555555556,19.69616837287617,0.01091246852018972,5.195952175067187,1
8,16,False,bps,0.0012444444444444445,0.004955555555555556,18.38956681219373,0.014605009451492951,4.806807306645363,1
-14,16,False,bps,0.0008972222222222222,0.0035555555555555557,18.33625308733341,0.014707711398544876,4.944745234529895,2
-12,16,False,bps,0.0006388888888888889,0.002522222222222222,19.08314581583562,0.012457365536682205,5.079805530428619,2
-10,16,False,bps,0.0005111111111111112,0.002022222222222222,19.623990786785093,0.011058035608302014,5.164478541815795,2
-8,16,False,bps,0.0004222222222222222,0.0016777777777777778,20.00734604645242,0.010168317959511876,5.2346033751252925,2
-6,16,False,bps,0.00036666666666666667,0.0014555555555555556,20.268138211453454,0.00960659599417879,5.2850583050576585,2
-4,16,False,bps,0.00035277777777777776,0.001411111111111111,20.437410213921336,0.00925936825827503,5.298679179430888,2
-2,16,False,bps,0.00033611111111111114,0.0013444444444444445,20.535224426233697,0.00906523772265045,5.315638157430199,2
0,16,False,bps,0.00031666666666666665,0.0012666666666666666,20.57235436508133,0.008993141717114322,5.336351137235631,2
2,16,False,bps,0.00031666666666666665,0.0012555555555555555,20.521188562779887,0.009095512683283865,5.336351137235631,2
4,16,False,bps,0.00035,0.001388888888888889,20.29977682825345,0.009549503811993935,5.301457784301782,2
6,16,False,bps,0.00045555555555555556,0.0018,19.692745648600546,0.010921119683232124,5.20696654445727,2
8,16,False,bps,0.00135,0.005377777777777778,18.386571981903796,0.01461585600440814,4.77117924059571,2
-14,16,False,bps,0.0009583333333333333,0.0037444444444444443,18.32557170194413,0.014744473898546669,4.9176080129079915,3
-12,16,False,bps,0.0005916666666666667,0.002311111111111111,19.082058652203727,0.012461466247822722,5.109291705056248,3
-10,16,False,bps,0.00046666666666666666,0.0018222222222222223,19.632787010624387,0.011036386119943668,5.198132889000545,3
-8,16,False,bps,0.0004027777777777778,0.0015666666666666667,20.013458353394235,0.01015391114959563,5.251587177838262,3
-6,16,False,bps,0.00036944444444444443,0.0014333333333333333,20.272211805874328,0.009597173865829405,5.282386752922465,3
-4,16,False,bps,0.00034166666666666666,0.0013333333333333333,20.444405058460053,0.009244660653266918,5.309907375152431,3
-2,16,False,bps,0.0003222222222222222,0.0012666666666666666,20.53864664458288,0.009057518231297211,5.330325244551385,3
0,16,False,bps,0.0003,0.0012,20.574487802978027,0.00898779196845863,5.354984820359824,3
2,16,False,bps,0.00030555555555555555,0.0012222222222222222,20.52253833482989,0.009091152205102647,5.348677785730378,3
4,16,False,bps,0.0003027777777777778,0.0012111111111111112,20.29697472864887,0.009553552359176497,5.351818985111853,3
6,16,False,bps,0.0004527777777777778,0.001788888888888889,19.694041651553263,0.01091713608928182,5.209203289520796,3
8,16,False,bps,0.0013055555555555555,0.0052,18.38511379819224,0.014619860518810895,4.78589411055738,3
-14,16,False,bps,0.0009638888888888889,0.0038,18.31327489124711,0.014781857444821635,4.915212318469882,4
-12,16,False,bps,0.0006416666666666667,0.002533333333333333,19.066829742444977,0.0125009815078938,5.0781283968788715,4
-10,16,False,bps,0.0004944444444444445,0.0019555555555555554,19.615002343772325,0.0110772612897419,5.176799467529484,4
-8,16,False,bps,0.0004111111111111111,0.0016222222222222222,19.998156411306965,0.010185507364554154,5.2442254088139215,4
-6,16,False,bps,0.0003861111111111111,0.0015222222222222221,20.252656411860404,0.009636554126500243,5.266705596066536,4
-4,16,False,bps,0.00035833333333333333,0.001411111111111111,20.42392128345123,0.009283825009476235,5.2931771915091685,4
-2,16,False,bps,0.00034166666666666666,0.0013444444444444445,20.52272105849397,0.009087676052620926,5.309907375152431,4
0,16,False,bps,0.0003444444444444444,0.0013666666666666666,20.562697984148578,0.009009446333162257,5.30707159641138,4
2,16,False,bps,0.0003388888888888889,0.0013555555555555556,20.515254783053255,0.009104545241972703,5.312762794540452,4
4,16,False,bps,0.000375,0.0015,20.28773711860858,0.009572489402118734,5.277094306056339,4
6,16,False,bps,0.0004861111111111111,0.0019222222222222223,19.690448357056297,0.01092439254931043,5.1830913346034535,4
8,16,False,bps,0.001325,0.005277777777777778,18.384404653100738,0.014621287296415392,4.779407028494964,4
