P_launch_dBm,Modulation,Data_Aided,CPR,BER,SER,SNR,EVM,Qfactor,Trial:
-14,16,False,bps,0.0020166666666666666,0.008,16.99755539282878,0.01986470519308252,4.587198510300505,0
-12,16,False,bps,0.0014472222222222221,0.005744444444444444,17.544509041418937,0.017533227173721713,4.74031334219121,0
-10,16,False,bps,0.0011694444444444445,0.004644444444444444,17.92385105022326,0.016084361019372675,4.833649623538112,0
-8,16,False,bps,0.0010333333333333334,0.0041,18.185092661364564,0.015158888954560612,4.886185087423248,0
-6,16,False,bps,0.0009444444444444445,0.0037555555555555554,18.357901532805748,0.014577110146172257,4.92364764336694,0
-4,16,False,bps,0.0008916666666666667,0.0035444444444444442,18.467992961530403,0.014219109168486689,4.947287107571162,0
-2,16,False,bps,0.0008583333333333333,0.0034222222222222223,18.5345775482253,0.014006425328765575,4.962818905069328,0
0,16,False,bps,0.000875,0.003477777777777778,18.559629729078324,0.013927153759511873,4.954991941981471,0
2,16,False,bps,0.0008666666666666666,0.0034444444444444444,18.52543408641965,0.01403535616346777,4.958889885106876,0
4,16,False,bps,0.0009194444444444444,0.0036555555555555556,18.380550919266724,0.014505575576984859,4.934705772121462,0
6,16,False,bps,0.001225,0.004877777777777778,17.978788611056416,0.01589302686887318,4.813636925133831,0
8,16,False,bps,0.0025194444444444444,0.010044444444444444,17.039097542101185,0.019689252688934532,4.478611888455914,0
-14,16,False,bps,0.0019055555555555555,0.007511111111111111,16.991465993835217,0.019892057565753466,4.614065612586392,1
-12,16,False,bps,0.0014472222222222221,0.0057,17.540763898679387,0.01754669434144971,4.74031334219121,1
-10,16,False,bps,0.0011777777777777778,0.004622222222222222,17.927558749151633,0.01606868205475219,4.83059890622712,1
-8,16,False,bps,0.0010583333333333334,0.004166666666666667,18.189478636753215,0.01514195480736339,4.8761269955467705,1
-6,16,False,bps,0.0009777777777777777,0.0038555555555555556,18.35446165577767,0.014587003723979901,4.909272405350346,1
-4,16,False,bps,0.0009083333333333334,0.003588888888888889,18.465863988013346,0.01422419436725138,4.9397001891415835,1
-2,16,False,bps,0.0008861111111111111,0.003511111111111111,18.53031404426228,0.014018524149652004,4.949842080578769,1
0,16,False,bps,0.0008416666666666667,0.0033333333333333335,18.558456462125648,0.013929847317359578,4.970772446244453,1
2,16,False,bps,0.0008583333333333333,0.0034,18.524922549757076,0.014036467584941837,4.962818905069328,1
4,16,False,bps,0.0009166666666666666,0.0036333333333333335,18.386860119631265,0.01448396735242531,4.935949692538907,1
6,16,False,bps,0.001161111111111111,0.004588888888888889,17.98633228475355,0.01586523845916531,4.836718150825022,1
8,16,False,bps,0.002458333333333333,0.009788888888888889,17.048101062619033,0.019648525455557796,4.490838001423472,1
-14,16,False,bps,0.0018777777777777777,0.0074333333333333335,17.035039218247217,0.01969495523419054,4.620977596612111,2
-12,16,False,bps,0.001375,0.005433333333333333,17.577912581653415,0.017399582945909674,4.763074294748231,2
