Case,n_spans,mean_BER,std_BER,trials
Baseline,1.0,0.00020055555555551998,1.4353345203100574e-05,5
Baseline,2.0,0.00021166666666664003,1.636297386114125e-05,5
Baseline,4.0,0.00027611111111106,9.33763128553418e-06,5
Baseline,8.0,0.0003516666666666,1.6964923871786882e-05,5
NN,1.0,6.333333333333333e-05,6.334307917217431e-06,5
NN,2.0,7e-05,6.022078719077443e-06,5
NN,4.0,0.00010222222222220221,8.651339723540034e-06,5
NN,8.0,0.00015722222222218,1.0504261333985393e-05,5
MP,1.0,0.00013277777777774,6.631853547942068e-06,5
MP,2.0,0.00014611111111106,6.394924685137193e-06,5
MP,4.0,0.00020333333333330002,6.6318535479588135e-06,5
MP,8.0,0.00026611111111108,9.296222517032998e-06,5
WH,1.0,0.00017111111111108,1.369306393761698e-05,5
WH,2.0,0.0001822222222222,5.760122598149267e-06,5
WH,4.0,0.00023722222222219996,1.0130323627118452e-05,5
WH,8.0,0.00032166666666662,4.120110270604579e-06,5
