P_launch_dBm,BER_No_DPD,BER_NN_DPD
-14.0,0.0007111111111111111,0.00029444444444444445
-12.0,0.0004111111111111111,0.00015555555555555556
-10.0,0.0003138888888888889,0.00010277777777777778
-8.0,0.00028333333333333335,9.444444444444444e-05
-6.0,0.00023055555555555554,8.333333333333333e-05
-4.0,0.0002138888888888889,7.222222222222222e-05
-2.0,0.00019722222222222222,6.666666666666667e-05
0.0,0.00019722222222222222,5.833333333333333e-05
2.0,0.00019722222222222222,6.111111111111111e-05
4.0,0.00023888888888888888,6.38888888888889e-05
6.0,0.00041944444444444445,0.0001638888888888889
8.0,0.001488888888888889,0.000775
