Trial,P_launch_dBm,BER_No_DPD,BER_DPD
0,-14,0.0007111111111111111,0.00034166666666666666
0,-12,0.0004111111111111111,0.00020277777777777777
0,-10,0.0003138888888888889,0.00013055555555555555
0,-8,0.00028333333333333335,9.722222222222222e-05
0,-6,0.00023055555555555554,9.166666666666667e-05
0,-4,0.0002138888888888889,8.888888888888889e-05
0,-2,0.00019722222222222222,6.666666666666667e-05
0,0,0.00019722222222222222,6.38888888888889e-05
0,2,0.00019722222222222222,7.222222222222222e-05
0,4,0.00023888888888888888,7.222222222222222e-05
0,6,0.00041944444444444445,0.0001722222222222222
0,8,0.001488888888888889,0.0008888888888888889
1,-14,0.0007305555555555556,0.0003111111111111111
1,-12,0.0004472222222222222,0.0001722222222222222
1,-10,0.0003277777777777778,0.00012222222222222221
1,-8,0.00029444444444444445,0.00010555555555555555
1,-6,0.00024166666666666667,8.61111111111111e-05
1,-4,0.00022222222222222223,6.38888888888889e-05
1,-2,0.00020277777777777777,6.666666666666667e-05
1,0,0.00019166666666666667,5.833333333333333e-05
1,2,0.00020277777777777777,6.111111111111111e-05
1,4,0.0002138888888888889,6.944444444444444e-05
1,6,0.0004111111111111111,0.0001611111111111111
1,8,0.0015083333333333333,0.0008361111111111111
2,-14,0.0007138888888888889,0.00030555555555555555
2,-12,0.0004333333333333333,0.00019166666666666667
2,-10,0.00031944444444444446,0.00014444444444444444
2,-8,0.00025833333333333334,0.00011666666666666667
2,-6,0.00022222222222222223,9.444444444444444e-05
2,-4,0.0002111111111111111,7.5e-05
2,-2,0.0002,7.222222222222222e-05
2,0,0.00018888888888888888,6.944444444444444e-05
2,2,0.0002,6.111111111111111e-05
2,4,0.000225,7.777777777777778e-05
2,6,0.000425,0.00017777777777777779
2,8,0.0015,0.0008555555555555556
3,-14,0.000775,0.00029444444444444445
3,-12,0.0004944444444444445,0.00018888888888888888
3,-10,0.0003444444444444444,0.0001361111111111111
3,-8,0.00029444444444444445,0.00011388888888888889
3,-6,0.0002666666666666667,8.61111111111111e-05
3,-4,0.00024444444444444443,8.055555555555556e-05
3,-2,0.00023055555555555554,7.5e-05
3,0,0.000225,5.833333333333333e-05
3,2,0.00023055555555555554,5.277777777777778e-05
3,4,0.00025277777777777777,7.5e-05
3,6,0.00043055555555555555,0.000175
3,8,0.0015027777777777778,0.0008861111111111111
4,-14,0.0007194444444444444,0.0003333333333333333
4,-12,0.0004916666666666666,0.00020555555555555556
4,-10,0.00038333333333333334,0.00014722222222222223
4,-8,0.00031944444444444446,0.00011666666666666667
4,-6,0.00025,9.166666666666667e-05
4,-4,0.0002138888888888889,7.222222222222222e-05
4,-2,0.0002,6.944444444444444e-05
4,0,0.0002,7.222222222222222e-05
4,2,0.00020833333333333335,8.055555555555556e-05
4,4,0.00025833333333333334,9.166666666666667e-05
4,6,0.00043055555555555555,0.00018888888888888888
4,8,0.0015194444444444444,0.0008666666666666666
