P_launch_dBm,BER_mean_No_DPD,BER_std_No_DPD,BER_mean_DPD,BER_std_DPD
-14,0.00073,2.6234931006927967e-05,0.0003172222222222222,1.968109953768705e-05
-12,0.00045555555555555556,3.658872186755414e-05,0.00019222222222222224,1.3234588055079555e-05
-10,0.00033777777777777777,2.7957750311302513e-05,0.0001361111111111111,1.0206207261596578e-05
-8,0.00029,2.2100360312128985e-05,0.00011,8.471083712209394e-06
-6,0.00024222222222222223,1.728036779443977e-05,8.999999999999999e-05,3.7267799624996516e-06
-4,0.0002211111111111111,1.3693063937629145e-05,7.61111111111111e-05,9.337631285539784e-06
-2,0.00020611111111111112,1.3805304044210189e-05,7e-05,3.621779114001467e-06
0,0.00020055555555555555,1.4353345203070901e-05,6.444444444444444e-05,6.334307917217432e-06
2,0.00020777777777777778,1.3379549531991433e-05,6.555555555555556e-05,1.0865337342004415e-05
4,0.00023777777777777778,1.8592445034090567e-05,7.722222222222222e-05,8.651339723554132e-06
6,0.0004233333333333334,8.240220541217398e-06,0.00017499999999999997,1.0015420209622193e-05
8,0.001503888888888889,1.121479402121457e-05,0.0008666666666666666,2.196026152894706e-05
