P_launch_dBm,n,BER_mean_DPD_WH,BER_std_DPD_WH
-14.0,5,0.0007261111111111111,3.852007653544185e-05
-12.0,5,0.0004238888888888889,2.7540654573212074e-05
-10.0,5,0.0002977777777777778,2.2855558256360248e-05
-8.0,5,0.00022944444444444444,1.397197371106588e-05
-6.0,5,0.00019277777777777777,1.6850834320114555e-05
-4.0,5,0.0001761111111111111,8.914892519934012e-06
-2.0,5,0.00017,1.5762512176790118e-05
0.0,5,0.0001711111111111111,1.3693063937629148e-05
2.0,5,0.0001722222222222222,6.514466333088098e-06
4.0,5,0.00023166666666666664,1.5908690070307053e-05
6.0,5,0.0004427777777777778,1.869590963384871e-05
8.0,5,0.0017927777777777775,1.6149379837498532e-05
